"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"07 Nov 1994","383,30","383,80","384,20","383,10","25,39K","-0,36%"
"04 Nov 1994","384,70","384,80","385,30","383,50","14,40K","0,08%"
"03 Nov 1994","384,40","385,00","385,40","384,20","17,75K","-0,29%"
"02 Nov 1994","385,50","384,70","385,70","384,20","9,68K","-0,05%"
"01 Nov 1994","385,70","384,70","386,50","384,30","19,06K","0,21%"
"31 Okt 1994","384,90","388,30","388,70","383,70","23,76K","-0,98%"
"28 Okt 1994","388,70","389,50","390,60","388,00","59,77K","-0,38%"
"27 Okt 1994","390,20","391,50","392,00","389,80","35,52K","-0,20%"
"26 Okt 1994","391,00","390,50","391,30","389,20","24,54K","-0,05%"
"25 Okt 1994","391,20","391,60","392,10","390,70","31,45K","-0,05%"
"24 Okt 1994","391,40","391,50","392,00","390,60","15,50K","-0,36%"
"21 Okt 1994","392,80","393,50","393,80","392,20","14,61K","-0,13%"
"20 Okt 1994","393,30","392,70","394,50","392,50","17,26K","0,25%"
"19 Okt 1994","392,30","391,80","393,70","391,80","29,08K","0,26%"
"18 Okt 1994","391,30","392,10","392,90","391,10","22,40K","-0,20%"
"17 Okt 1994","392,10","390,70","392,30","390,70","18,45K","0,54%"
"14 Okt 1994","390,00","389,50","390,50","389,20","16,73K","0,36%"
"13 Okt 1994","388,60","391,30","391,60","388,10","19,11K","-0,51%"
"12 Okt 1994","390,60","390,00","391,10","390,00","44,11K","0,10%"
"11 Okt 1994","390,20","392,20","392,50","388,00","15,29K","-0,81%"
"10 Okt 1994","393,40","394,50","395,20","393,10","64,32K","-0,10%"
"07 Okt 1994","393,80","396,10","397,20","392,00","15,85K","-0,33%"
"06 Okt 1994","395,10","394,70","395,20","393,60","42,92K","-0,03%"
"05 Okt 1994","395,20","395,40","397,80","394,50","17,68K","-0,13%"
"04 Okt 1994","395,70","395,50","396,20","394,30","31,85K","-0,63%"
"03 Okt 1994","398,20","396,20","399,80","395,70","31,27K","0,15%"
"30 Sep 1994","397,60","398,40","398,70","396,30","33,06K","-0,28%"
"29 Sep 1994","398,70","398,00","399,50","397,80","25,82K","0,20%"
"28 Sep 1994","397,90","400,50","401,90","397,60","21,59K","-0,87%"
"27 Sep 1994","401,40","398,30","401,80","397,90","41,61K","0,90%"
"26 Sep 1994","397,80","398,50","400,00","397,70","43,83K","-0,45%"
"23 Sep 1994","399,60","399,60","400,70","399,10","22,49K","0,15%"
"22 Sep 1994","399,00","397,10","399,20","396,90","32,26K","0,30%"
"21 Sep 1994","397,80","399,00","399,70","397,40","22,50K","0,15%"
"20 Sep 1994","397,20","396,20","399,10","395,50","32,62K","0,91%"
"19 Sep 1994","393,60","393,20","394,30","392,90","63,84K","0,00%"
"16 Sep 1994","393,60","392,00","395,00","392,00","11,55K","0,43%"
"15 Sep 1994","391,90","391,00","392,40","390,60","30,18K","-0,25%"
"14 Sep 1994","392,90","394,60","395,00","392,30","15,73K","-0,41%"
"13 Sep 1994","394,50","394,50","395,10","393,00","15,89K","-0,10%"
"12 Sep 1994","394,90","395,50","395,90","394,60","22,87K","-0,23%"
"09 Sep 1994","395,80","394,20","396,90","392,50","18,85K","0,30%"
"08 Sep 1994","394,60","394,40","396,30","393,90","49,31K","0,05%"
"07 Sep 1994","394,40","393,30","394,80","393,00","38,87K","0,56%"
"06 Sep 1994","392,20","391,80","392,50","391,50","27,38K","0,20%"
"02 Sep 1994","391,40","391,60","392,20","390,40","9,77K","0,03%"
"01 Sep 1994","391,30","390,50","391,40","389,90","15,26K","0,13%"
"31 Agu 1994","390,80","390,20","391,40","389,20","18,52K","0,00%"
"30 Agu 1994","390,80","391,00","391,70","390,30","28,12K","-0,26%"
"29 Agu 1994","391,80","386,00","394,00","385,70","18,73K","0,98%"
"26 Agu 1994","388,00","388,30","388,60","387,20","56,48K","-0,03%"
"25 Agu 1994","388,10","388,50","388,70","387,50","14,70K","-0,13%"
"24 Agu 1994","388,60","387,10","390,00","386,70","13,19K","0,54%"
"23 Agu 1994","386,50","386,10","386,90","385,80","42,11K","-0,05%"
"22 Agu 1994","386,70","386,60","388,10","385,90","9,85K","-0,05%"
"19 Agu 1994","386,90","385,50","387,50","385,30","18,09K","0,26%"
"18 Agu 1994","385,90","382,80","387,00","382,80","18,79K","0,94%"
"17 Agu 1994","382,30","382,70","383,70","381,80","40,56K","-0,16%"
"16 Agu 1994","382,90","381,70","383,10","380,30","14,09K","0,13%"
"15 Agu 1994","382,40","381,00","382,50","381,00","29,54K","0,24%"
"12 Agu 1994","381,50","383,00","384,30","380,20","15,99K","-0,65%"
"11 Agu 1994","384,00","381,80","384,70","381,40","29,51K","0,37%"
"10 Agu 1994","382,60","383,60","384,20","382,60","30,47K","-0,10%"
"09 Agu 1994","383,00","382,10","384,20","382,10","13,17K","0,18%"
"08 Agu 1994","382,30","382,60","383,10","381,90","13,79K","-0,16%"
"05 Agu 1994","382,90","383,10","384,70","382,60","9,95K","-0,05%"
"04 Agu 1994","383,10","381,80","383,80","380,50","21,81K","0,00%"
"03 Agu 1994","383,10","383,90","384,40","382,30","28,47K","-0,34%"
"02 Agu 1994","384,40","388,60","389,10","383,60","31,56K","-1,28%"
"01 Agu 1994","389,40","390,10","390,40","388,60","55,17K","0,05%"
"29 Jul 1994","389,20","390,70","391,00","388,00","13,65K","-0,51%"
"28 Jul 1994","391,20","393,60","394,10","391,00","43,21K","0,90%"
"27 Jul 1994","387,70","387,30","389,50","386,80","21,72K","0,16%"
"26 Jul 1994","387,10","386,40","387,10","385,00","37,45K","0,57%"
"25 Jul 1994","384,90","384,90","385,50","384,70","37,53K","-0,03%"
"22 Jul 1994","385,00","384,60","385,10","383,80","14,23K","0,18%"
"21 Jul 1994","384,30","385,50","387,10","384,20","16,98K","-0,34%"
"20 Jul 1994","385,60","387,10","388,30","385,20","22,93K","-0,39%"
"19 Jul 1994","387,10","384,40","387,40","383,80","27,60K","0,23%"
"18 Jul 1994","386,20","386,70","387,30","386,20","24,17K","-0,05%"
"15 Jul 1994","386,40","385,40","386,50","384,70","11,36K","0,52%"
"14 Jul 1994","384,40","384,40","385,70","382,00","16,06K","0,10%"
"13 Jul 1994","384,00","384,40","386,30","383,80","41,24K","-0,60%"
"12 Jul 1994","386,30","386,50","387,90","385,30","29,94K","-0,46%"
"11 Jul 1994","388,10","385,90","390,30","385,40","23,51K","0,78%"
"08 Jul 1994","385,10","384,00","386,30","383,20","35,95K","-0,16%"
"07 Jul 1994","385,70","384,40","385,80","383,30","29,71K","0,29%"
"06 Jul 1994","384,60","387,00","387,80","383,20","18,36K","-0,59%"
"05 Jul 1994","386,90","389,30","389,90","386,30","40,87K","-0,31%"
"01 Jul 1994","388,10","386,80","388,60","385,20","27,15K","0,21%"
"30 Jun 1994","387,30","386,90","390,50","386,80","23,72K","0,26%"
"29 Jun 1994","386,30","386,60","387,80","385,20","32,35K","-0,41%"
"28 Jun 1994","387,90","387,60","388,80","387,10","21,76K","0,39%"
"27 Jun 1994","386,40","391,70","391,90","383,90","27,72K","-1,65%"
"24 Jun 1994","392,90","392,50","394,40","390,50","57,46K","0,36%"
"23 Jun 1994","391,50","391,60","393,40","390,50","36,97K","0,03%"
"22 Jun 1994","391,40","395,30","395,50","390,00","24,47K","-1,24%"
"21 Jun 1994","396,30","391,50","397,90","390,30","46,08K","1,38%"
"20 Jun 1994","390,90","395,20","395,40","390,50","57,20K","-0,71%"
"17 Jun 1994","393,70","388,60","395,00","388,50","38,58K","1,60%"
"16 Jun 1994","387,50","389,10","389,70","386,90","51,11K","-0,39%"
"15 Jun 1994","389,00","386,00","389,90","385,80","22,73K","0,67%"
"14 Jun 1994","386,40","386,70","387,00","385,80","36,84K","0,21%"
"13 Jun 1994","385,60","384,00","385,80","383,60","12,54K","-0,05%"
"10 Jun 1994","385,80","385,50","386,30","384,60","17,82K","0,13%"
"09 Jun 1994","385,30","384,30","386,40","383,70","13,99K","0,31%"
"08 Jun 1994","384,10","384,80","385,30","383,40","18,47K","0,16%"
